#---- ММВБ- СПВБ: валюты (СЭЛТ) ----
IIX,AMEX Internet,16/11,164.35,-0.82%
NWX,AMEX Networking,15/11,248.54,1.72%
MerVal,Argentina MerVal,16/11,1257.75,0.80%
AORD,Australia All Ordinaries,08:06,3889.9,0.26%
FTSE,FTSE,16/11,4770.4,-0.68%
ATX,Austria ATX,16/11,2182.81,0.14%
BEL,Belgium BEL-20,16/11,2830.5,-0.73%
BUSP,Brazil Bovespa,16/11,23772.06,-1.10%
TSE,Canada TSE 300 Composite,16/11,8952,0.17%
IPSA,Chile IPSA,16/11,1733.9,0.50%
SSEC,China Shanghai Composite,06:30,1355.883,-1.06%
DJSI,Commodities Dow Jones Spot,15/11,200.4,0.65%
DJFI,Commodities Dow Jones Futures,15/11,151.58,0.64%
XAU,Commodities Philadelphia Gold &amp; Silver,16/11,108.67,1.48%
PX50,Czech Republic PX50,16/11,960.6,0.26%
KFX,Denmark KFX,16/11,280.77,-0.40%
CMA,Egypt CMA,11/11,1150.17,0.61%
HEX,Finland Helsinki General,16/11,6346.62,-0.86%
CAC,France CAC 40,16/11,3794.27,-0.70%
DAX,Germany DAX,16/11,4117.22,-0.41%
ASE,Greece General Share,16/11,2611.47,-0.29%
HSI,Hong Kong Hang Seng,07:35,13806.62,0.44%
BUX,Hungary BUX,16/11,13872.42,-0.37%
NDI,Indi 500,31/12,238.32,-0.84%
BSE,India BSE 30,10:51,6028.859,0.54%
JKSE,Indonesia Jakarta Composite,12/11,934.03,0.96%
TA100,Israel TA-100,16/11,594.72,0.74%
MibTel,Italy MIBTel,16/11,22206,-0.61%
Nikkei,Japan Nikkei 225,08:21,11149.97,-0.11%
KLSE,Malaysia KLSE Composite,08:29,898.7,1.86%
AEX,Netherlands AEX General,16/11,339.54,-0.86%
NZSE,New Zealand NZSE 40,31/03,2321.631,0.03%
IPC,Mexico IPC,16/11,11951.16,-0.04%
PSX,Pacific Exchange Technology,15/11,746.28,0.26%
KSE,Pakistan Karachi 100,12/11,3592.92,0.98%
IGRA,Peru Lima General,16/11,3592.35,-0.60%
SOXX,Philadelphia Semiconductor,16/11,427.61,-0.46%
PSE,Philippines PSE Composite,08:00,1794.36,0.36%
BVLX,BVL General,16/11,598.5,2.91%
RUI,Russell 1000,16/11,629.22,-0.67%
RUT,Russell 2000,16/11,617.89,-0.96%
RUA,Russell 3000,16/11,669.34,-0.69%
MTMS,Russia Moscow Times,16/11,8621.26,-0.02%
Straits,Singapore Straits Times,07:29,2042.16,0.28%
SAX,Slovakia SAX,16/11,274.55,-0.46%
JSE,South Africa Johannesburg All Share,16/11,12215.2,-0.40%
Kospi,South Korea Seoul Composite,08:01,885.86,1.06%
IGBM,Spain Madrid General,16/11,894.19,-0.63%
SPX,Standard and Poor's 500 Index,16/11,1175.43,-0.71%
OEX,Standard and Poor's 100 Index,16/11,562.26,-0.68%
MID,Standard and Poor's 400 MidCap,16/11,629.92,-0.60%
SML,Standard and Poor's 600 SmallCap,16/11,313.13,-0.98%
SSMI,Switzerland Swiss Market,16/11,5653.6,-0.36%
SET,Thailand SET,08:00,643.5,0.13%
FUX,Treasury Securities (yield x10) 5-Year Note,15/11,3.53,0.00%
TNX,Treasury Securities (yield x10) 10-Year Note,15/11,4.19,-0.24%
